Регион таргетинга;Показы;Клики;Расход (руб.);Конверсия (%);Цена цели (руб.);Конверсии
Одинцовский район (более точно регион не определён);3172;96;2389,06;2,08;1194,53;2
Озёрск;1149;22;390,4;-;-;-
Октябрьский;696;4;105,97;-;-;-
Оленегорск;373;5;35,22;-;-;-
Омск;11496;252;5610,99;2,38;935,17;6
Омская область (более точно регион не определён);1553;21;223,05;-;-;-
Ордабасинский район;665;8;72,2;-;-;-
Орловская область (более точно регион не определён);1953;40;480,56;-;-;-
Оренбург;7714;173;3964,4;0,58;3964,4;1
Оренбургская область (более точно регион не определён);3431;84;1890,55;1,19;1890,55;1
Орехово-Зуево;499;20;281,45;-;-;-
Орск;1289;26;741,03;-;-;-
Орёл;3690;62;1010,73;-;-;-
Осташков;31;1;48,63;-;-;-
Павлово;383;6;127,18;-;-;-
Павловский Посад;290;5;105,82;-;-;-
Павловский район (более точно регион не определён);663;18;526,44;11,11;263,22;2
Павлодар;39392;150;1300,93;0,67;1300,93;1
Павлодар и область (более точно регион не определён);7047;19;149,48;-;-;-
Панфиловский район;2245;11;98,94;-;-;-
Пенза;6765;149;3280,19;1,34;1640,09;2
Пензенская область (более точно регион не определён);2959;61;836,07;-;-;-
Первоуральск;944;19;471,21;5,26;471,21;1
Переславль-Залесский;1047;12;245,68;16,67;122,84;2
Пермский край (более точно регион не определён);5304;105;1972,35;1,9;986,17;2
Пермь;12289;274;7068,13;1,46;1767,03;4
Петрозаводск;3973;68;1200,84;1,47;1200,84;1
Петропавловск;20822;99;812,88;2,02;406,44;2
Петропавловск-Камчатский;2176;39;1076,07;-;-;-
Петушинский район (более точно регион не определён);567;10;115,94;-;-;-
Печора;343;4;187,54;-;-;-
Пионерский;591;4;84,29;-;-;-
Подольск;2489;65;1800,73;1,54;1800,73;1
Подпорожский район (более точно регион не определён);8;0;0;-;-;-
Подпорожье;63;1;6;-;-;-
Покров;76;3;37,32;-;-;-
Полевской;511;11;296,3;-;-;-
Полысаево;80;2;38,11;-;-;-
Поволжье (более точно регион не определён);1092;14;146,66;-;-;-
Приморский край (более точно регион не определён);2258;58;866,17;3,45;433,09;2
Приозерск;206;6;189,32;-;-;-
Приозерский район (более точно регион не определён);310;6;89,98;-;-;-
Прокопьевск;767;15;208,02;-;-;-
Протвино;438;3;51,06;-;-;-
Псков;2629;45;994,88;-;-;-
Псковская область (более точно регион не определён);1086;8;163,7;-;-;-
Пушкин;593;13;290,51;-;-;-
Пушкино;1166;38;796,47;5,26;398,23;2
Пушкинский район (более точно регион не определён);918;19;293,92;-;-;-
Пушкинский район (более точно регион не определён);530;15;217,77;6,67;217,77;1
Пущино;194;5;39,92;-;-;-
Пыть-Ях;210;5;180,47;-;-;-
Пятигорск;3046;55;1551,7;5,45;517,23;3
Радужный;180;5;89,02;-;-;-
Район Печора (более точно регион не определён);16;0;0;-;-;-
Раменский район (более точно регион не определён);2065;51;950,34;1,96;950,34;1
Раменское;1179;22;301,95;-;-;-
Ревда;516;8;124,31;-;-;-
Реж;140;5;118,39;-;-;-
Республика Адыгея (более точно регион не определён);1484;31;441,53;-;-;-
Республика Алтай (более точно регион не определён);456;12;187,71;-;-;-
Республика Башкортостан (более точно регион не определён);5475;162;3626,97;1,23;1813,49;2
Республика Бурятия (более точно регион не определён);1173;18;287,46;-;-;-
Республика Дагестан (более точно регион не определён);2253;41;928,73;2,44;928,73;1
Республика Ингушетия (более точно регион не определён);542;14;452,11;7,14;452,11;1
Республика Калмыкия (более точно регион не определён);220;4;41,13;-;-;-
Республика Каракалпакстан (более точно регион не определён);12;2;42,41;-;-;-
Республика Карелия (более точно регион не определён);1018;17;176,11;-;-;-
Республика Коми (более точно регион не определён);1658;29;402,81;-;-;-
Республика Крым (более точно регион не определён);8555;158;2956,46;0,63;2956,46;1
Республика Марий Эл (более точно регион не определён);749;17;313,5;-;-;-
Республика Мордовия (более точно регион не определён);879;18;224,19;5,56;224,19;1
Республика Саха (Якутия) (более точно регион не определён);1571;39;869,1;-;-;-
Республика Северная Осетия ? Алания (более точно регион не определён);1360;21;393,56;-;-;-
Республика Татарстан (более точно регион не определён);5465;126;2226,41;-;-;-
Республика Тыва (более точно регион не определён);230;7;194,76;-;-;-
Республика Хакасия (более точно регион не определён);2252;28;494,19;-;-;-
Реутов;1087;33;959,43;-;-;-
Ржев;420;6;73,39;-;-;-
Россия (более точно регион не определён);21697;262;3829,12;0,76;1914,56;2
Россошанский район (более точно регион не определён);33;0;0;-;-;-
Россошь;480;13;120,04;-;-;-
Ростов-на-Дону;14760;370;10201,25;2,7;1020,12;10
Ростовская область (более точно регион не определён);6542;130;1959,81;0,77;1959,81;1
Рубцовск;549;11;248,99;9,09;248,99;1
Рудный;13860;43;295,78;-;-;-
Руза;118;3;138,36;-;-;-
Рузаевка;231;8;159,81;-;-;-
Рузский городской округ (более точно регион не определён);643;25;544,81;-;-;-
Рыбинск;2204;34;574,72;-;-;-
Рязань;7690;196;4535,13;0,51;4535,13;1
Рязанская область (более точно регион не определён);3217;77;1622,88;1,3;1622,88;1
Сайрамский район;1810;12;241,13;-;-;-
Саки;937;27;806,31;3,7;806,31;1
Салават;967;22;458,57;-;-;-
Салехард;1052;27;714,7;-;-;-
Самара;15669;371;7623,23;0,54;3811,61;2
Самарская область (более точно регион не определён);7073;126;2617,73;1,59;1308,87;2
Санкт-Петербург (более точно регион не определён);62641;1483;40251,23;0,4;6708,54;6
Санкт-Петербург и Ленинградская область (более точно регион не определён);2238;56;944,1;1,79;944,1;1
Саранск;2875;56;1032,41;1,79;1032,41;1
Сарапул;772;19;224,76;-;-;-
Саратов;13624;228;4503,37;0,44;4503,37;1
Саратовская область (более точно регион не определён);3495;84;1503,26;-;-;-
Саров;855;23;346,81;-;-;-
Сарыагашский район;2153;16;258,53;6,25;258,53;1
Сатка;312;4;45,38;25;45,38;1
Саткинский район (более точно регион не определён);80;5;123,34;-;-;-
Свободный;200;4;32,32;-;-;-
Севастополь;7729;153;4790,63;-;-;-
Северо-Запад (более точно регион не определён);41;0;0;-;-;-
Северный Кавказ (более точно регион не определён);2;0;0;-;-;-
Северо-Казахстанская область (более точно регион не определён);10195;26;114,46;-;-;-
Северобайкальск;250;1;46,2;-;-;-
Северодвинск;1585;28;549,46;-;-;-
Североуральск;275;6;88,75;-;-;-
Северск;854;15;106,56;-;-;-
Сегежа;140;9;237,05;-;-;-
Сегежский район (более точно регион не определён);23;1;4,44;-;-;-
Семей;28250;103;921,29;-;-;-
Сергиев Посад;1399;21;368,64;-;-;-
Сергиево-Посадский район (более точно регион не определён);713;14;447,48;-;-;-
Серов;520;16;337,94;12,5;168,97;2
Серпухов;1054;21;460,57;4,76;460,57;1
Сибай;242;3;214,89;-;-;-
Сибирь (более точно регион не определён);1318;24;158,47;-;-;-
Симферополь;4955;76;1778,74;-;-;-
Славянск-на-Кубани;367;8;81,31;-;-;-
